date,rain_mm,rain_mm_cumsum
2020-03-09,0.0,586.5000000000003
2020-03-10,0.0,586.5000000000003
2020-03-11,0.0,586.5000000000003
2020-03-12,4.6,591.1000000000004
2020-03-13,21.200000000000014,612.3000000000004
2020-03-14,2.7,615.0000000000005
2020-03-15,0.0,615.0000000000005
2020-03-16,0.0,615.0000000000005
2020-03-17,8.999999999999998,624.0000000000005
2020-03-18,4.799999999999999,628.8000000000004
2020-03-19,2.0,630.8000000000004
2020-03-20,13.799999999999988,644.6000000000004
2020-03-21,3.3000000000000003,647.9000000000003
2020-03-22,0.0,647.9000000000003
2020-03-23,0.0,647.9000000000003
2020-03-24,0.0,647.9000000000003
2020-03-25,0.0,647.9000000000003
2020-03-26,0.5,648.4000000000003
2020-03-27,0.1,648.5000000000003
2020-03-28,0.30000000000000004,648.8000000000003
2020-03-29,0.0,648.8000000000003
2020-03-30,0.0,648.8000000000003
2020-03-31,0.0,648.8000000000003
2020-04-01,4.6,653.4000000000003
2020-04-02,0.0,653.4000000000003
2020-04-03,0.0,653.4000000000003
2020-04-04,0.0,653.4000000000003
2020-04-05,0.0,653.4000000000003
2020-04-06,0.0,653.4000000000003
2020-04-07,0.0,653.4000000000003
2020-04-08,0.0,653.4000000000003
2020-04-09,0.0,653.4000000000003
2020-04-10,22.5,675.9000000000003
2020-04-11,2.3000000000000007,678.2000000000003
2020-04-12,0.0,678.2000000000003
2020-04-13,0.0,678.2000000000003
2020-04-14,0.0,678.2000000000003
2020-04-15,0.0,678.2000000000003
2020-04-16,0.0,678.2000000000003
2020-04-17,0.4,678.6000000000003
2020-04-18,0.0,678.6000000000003
2020-04-19,0.0,678.6000000000003
2020-04-20,0.0,678.6000000000003
2020-04-21,0.0,678.6000000000003
2020-04-22,0.0,678.6000000000003
2020-04-23,0.0,678.6000000000003
2020-04-24,0.0,678.6000000000003
2020-04-25,1.7000000000000004,680.3000000000003
2020-04-26,0.0,680.3000000000003
2020-04-27,0.0,680.3000000000003
2020-04-28,0.0,680.3000000000003
2020-04-29,0.0,680.3000000000003
2020-04-30,0.0,680.3000000000003
2020-05-01,0.0,680.3000000000003
2020-05-02,0.0,680.3000000000003
2020-05-03,0.0,680.3000000000003
2020-05-04,0.0,680.3000000000003
2020-05-05,11.399999999999999,691.7000000000003
2020-05-06,0.0,691.7000000000003
2020-05-07,0.0,691.7000000000003
2020-05-08,0.0,691.7000000000003
2020-05-09,3.2,694.9000000000003
2020-05-10,0.0,694.9000000000003
2020-05-11,0.0,694.9000000000003
2020-05-12,0.0,694.9000000000003
2020-05-13,0.0,694.9000000000003
2020-05-14,0.0,694.9000000000003
2020-05-15,0.0,694.9000000000003
2020-05-16,0.0,694.9000000000003
2020-05-17,0.0,694.9000000000003
2020-05-18,0.0,694.9000000000003
2020-05-19,0.0,694.9000000000003
2020-05-20,0.0,694.9000000000003
2020-05-21,0.0,694.9000000000003
2020-05-22,0.0,694.9000000000003
2020-05-23,0.0,694.9000000000003
2020-05-24,1.2000000000000002,696.1000000000004
2020-05-25,0.0,696.1000000000004
2020-05-26,0.0,696.1000000000004
2020-05-27,0.0,696.1000000000004
2020-05-28,0.0,696.1000000000004
2020-05-29,0.0,696.1000000000004
2020-05-30,0.0,696.1000000000004
2020-05-31,0.0,696.1000000000004
2020-06-01,0.0,696.1000000000004
2020-06-02,0.0,696.1000000000004
2020-06-03,0.0,696.1000000000004
2020-06-04,0.0,696.1000000000004
2020-06-05,0.0,696.1000000000004
2020-06-06,0.0,696.1000000000004
2020-06-07,0.0,696.1000000000004
2020-06-08,0.0,696.1000000000004
2020-06-09,0.0,696.1000000000004
2020-06-10,0.0,696.1000000000004
2020-06-11,0.0,696.1000000000004
2020-06-12,0.0,696.1000000000004
2020-06-13,0.0,696.1000000000004
